"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACER2",95.2989560716338,0.300365119963772,0.544110255874562,0.552029881298575,0.580927880796973,0.74288820979428
"ACER3",309.637562096889,-0.596200496803345,0.364262776706685,-1.63673187305499,0.10168650611605,0.243835052091834
"ACHE",11.6696708547683,-0.535582533177114,0.58342708783184,-0.917993943626223,0.358622036585864,0.5535804211618
"ACIN1",955.768372239345,0.371363415156273,0.207764517303475,1.7874246284982,0.0738688839828883,0.196969237133522
"ACKR1",78.8861309595754,-1.18108165193185,0.650942818216365,-1.8144169024986,0.0696135654492819,0.189454075464431
"ACKR2",52.0483916597333,-1.17253473922371,0.617074061569007,-1.90015236784116,0.0574131270460498,0.167268296583329
"ACKR3",140.72355537368,-0.156520991994716,0.442997733827661,-0.353322331115147,0.723846805960265,0.842423268281179
"ACKR4",28.7991812594453,0.189282788610098,0.444010097864158,0.426302891579749,0.669887151146846,0.806998348573158
"ACLY",1994.95338915796,-0.265860088694692,0.241369789208788,-1.10146381436626,0.270694845035474,0.460802099275682
"ACMSD",10.4681099882279,1.00692682092207,0.682318726099875,1.4757426147127,0.140013001214807,0.301547060173707
"ACN9",92.505083697403,0.930985195294766,0.498702879990259,1.86681335249748,0.0619276571992791,0.175763078990584
"ACO1",513.850920985684,-0.123158313754542,0.319848033559102,-0.385052590081923,0.700198452488049,0.82685332054358
"ACO2",403.806905111889,-0.786843569499192,0.302929947726083,-2.59744398137445,0.00939204385387723,0.0495961175894887
"ACOT1",20.9679573464768,-0.229068313331714,0.500875682418978,-0.457335665060498,0.647429798516514,0.790043142626421
"ACOT11",37.3367192412807,0.628840031523198,0.416548595526825,1.5096438645481,0.131134322238112,0.288777764300392
"ACOT12",2.41438171930697,1.29400909058652,0.819057615327905,1.57987553789908,0.11413537229419,0.263259287674233
"ACOT13",371.680691509025,-0.142377293955961,0.227822082341327,-0.624949489060718,0.532004210058191,0.705444736859497
"ACOT2",154.998983440441,0.600661794157714,0.393001847652289,1.52839432625048,0.126414662679649,0.281799610702019
"ACOT4",41.115494400659,-0.816908738249387,0.519686636056552,-1.57192562127091,0.115967801785164,0.26619269145492
"ACOT6",2.50117768363278,0.122169740805997,0.810288422128266,0.150773153693979,0.880154664386122,0.937793915288361
"ACOT7",149.758944867154,-0.55531114117159,0.409062836377487,-1.35752038999491,0.174615919185057,0.34710759429811
"ACOT8",118.16445482117,0.0243895423814538,0.257773369166058,0.0946162222279136,0.92461966416899,0.962967399294924
"ACOT9",389.693614955012,-0.66910932545367,0.464758414826494,-1.43969276103041,NA,NA
"ACOX1",2004.77749387684,-1.47044931738767,0.472183214996778,-3.11414991191015,NA,NA
"ACOX2",66.3716434834491,-1.53452740829783,0.701376993235115,-2.18787816409516,0.0286784782651909,0.10555880122746
"ACOX3",138.586208981862,-1.05948662673068,0.37290989862307,-2.84113302071821,0.00449535572210816,0.0300302983871302
"ACOXL",13.0241461587156,0.840361433926309,0.698707153955435,1.2027376980026,0.229077840814731,0.412383688549179
"ACP1",604.956539397743,0.303681593553832,0.252741272252077,1.20155125772631,0.229537435847966,0.412952315805351
"ACP2",209.063580923559,-0.0744026710946533,0.303886815800865,-0.244836785362247,0.806582809972071,0.894920392892172
"ACP5",368.39643007379,-0.642002877596609,0.495776978986669,-1.29494289732616,0.195339928801495,0.372054993951225
"ACP6",86.1042384647771,-0.608075810035789,0.414498958696992,-1.46701408357531,0.142372224204992,0.305181231442807
"ACPP",20.820071920641,-0.275425963794272,0.510241378495193,-0.539795428991981,0.589338119755385,0.749010942081525
"ACPT",7.7812907343745,1.72779706654846,0.570801630376076,3.02696589252922,0.0024702182926189,0.0199169570749922
"ACR",3.47446327749258,1.31847825128743,0.830847200205298,1.58690821966017,0.11253343302393,0.260574152744675
"ACRBP",16.6989418479633,0.885157677174992,0.466805724998156,1.89620141693526,0.0579334159009994,0.168115711685116
"ACRC",15.4915666658932,-0.298679327590084,0.498159882269079,-0.599565196277194,0.54879604788856,0.718756415149162
"ACRV1",3.14503033368792,1.92958474718105,0.815793426893079,2.36528597016257,0.0180161534527964,0.0773975587995774
"ACSBG1",8.96000455430164,0.83228095010125,0.657320480003331,1.26617224842444,0.205451420777394,0.384318951574744
"ACSBG2",8.40308772391622,1.53719074375822,0.59700657789044,2.57483049716132,0.0100289221514385,0.0518738919346312
"ACSF2",304.410591538878,-0.220906698040853,0.460911676463932,-0.479282060579648,0.631737982595767,0.778517237787018
"ACSF3",107.861123294518,-0.19561636442426,0.269030062801071,-0.727117119877062,0.467154212079458,0.652218269230551
"ACSL1",1443.58598490158,-0.605643502751406,0.448403824919235,-1.35066533578409,0.176802661174314,0.349892728348191
"ACSL3",1654.12796905034,-0.18703051850258,0.321520842733651,-0.581705736127087,0.560764907145416,0.727529847917764
"ACSL4",801.606973747705,0.594907923098493,0.295537046099697,2.01297242071576,0.0441175308222359,0.140648875623039
"ACSL5",176.978965827449,-0.745466050913724,0.294577012371021,-2.53063212541108,0.0113857193884893,0.056464349171175
"ACSL6",85.2149639831312,2.18638854066399,0.599617796598659,3.64630361718133,NA,NA
"ACSM1",12.8694982339987,-0.156265719460874,0.599123490620468,-0.260823890078222,0.794228320329052,0.88675844902856
"ACSM2A",2.68336655613435,1.79396487494097,0.860901962018759,2.08382017243199,0.0371765277084844,0.125280485733354
"ACSM2B",2.6298805550625,1.87672845764724,0.893916198126399,2.09944563213058,0.0357776357050646,0.122014630595966
"ACSM3",58.45099194508,-0.803124356094309,0.338557821846468,-2.3721925894789,0.017682870953741,0.0765886819169184
"ACSM4",7.59425391591746,-0.362281289289467,0.604407326004903,-0.599399235750707,0.548906686501523,0.718784524099688
