"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCE1",1188.17803343214,-0.327331200008203,0.294723345030575,-1.11063886023092,0.266723828789925,0.496772037318651
"ABCF2",452.171497638004,-0.251077921817948,0.350448861762156,-0.716446675145289,0.473715583020388,0.680508338387408
"ABCF3",521.992626384305,0.0099179655422411,0.317876404310216,0.0312006975282196,0.975109483639398,0.989740387322247
"ABCG1",343.258847784523,1.18758964547743,0.269108635052919,4.41304919570453,1.01924824084171e-05,0.000471357211909606
"ABCG2",42.6304623028887,1.42786297981105,0.408302200499128,3.49707392726654,0.000470391457690284,0.00829055028676223
"ABCG4",12.0594143367034,-1.13598640006212,0.612198799026501,-1.85558416950267,0.0635128518270858,0.218788586312059
"ABCG5",3.41662436897983,-0.325083786614421,0.755969108450169,-0.430022580262417,0.667179215773576,0.818045937782441
"ABCG8",6.73211082265009,-0.164347178285313,0.651173032953088,-0.252386339679936,0.800742457816958,0.899056385591674
"ABHD1",25.5402829173324,-0.120811794546606,0.344622468028806,-0.350562733874064,0.725916418349565,0.855634988877916
"ABHD10",298.718185891797,0.287105089302555,0.249274148974236,1.15176439467949,0.24941790270122,0.478464798914282
"ABHD11",189.628022999258,0.628474187635482,0.4163293015844,1.50956030537302,0.13115565650352,0.333171429540772
"ABHD12",195.454043806171,0.327077517962021,0.268554766712492,1.21791738037621,0.22325537074485,0.449623633330161
"ABHD12B",24.0950148437656,2.99448325059176,0.766127910039557,3.90859438920212,9.28346763365645e-05,0.00259081874427665
"ABHD13",305.42064770599,-0.122443360962106,0.261456708508387,-0.468312179330363,0.639561359985545,0.800571956870343
"ABHD14A",19.8897790025636,0.863997771978974,0.471108936122054,1.83396600177232,0.0666590410306774,0.224966713882161
"ABHD14B",292.520943724509,0.523125979308864,0.333722983791326,1.56754555339817,0.1169872271808,0.310889928933435
"ABHD15",157.578729782099,0.504768187566801,0.278874816549448,1.8100171030585,0.0702931349389252,0.231280679397337
"ABHD16B",32.4354249571431,0.173298357068674,0.405819071789059,0.427033545527285,0.669354894550789,0.819607835557094
"ABHD17A",138.217011070232,0.47034601270776,0.279662383145967,1.68183510208546,0.0926008199525504,0.270808493832104
"ABHD17B",203.346560177772,0.0921410104404902,0.221522787332323,0.415943711931823,0.677451192368263,0.824642573612498
"ABHD17C",145.669605111622,1.29915204672897,0.377149771137617,3.4446581866145,0.000571781955078603,0.00950831997375341
"ABHD2",1662.16792166796,0.797416784740886,0.260845364437984,3.05704794278784,0.00223528521005187,0.02472220258142
"ABHD3",166.587957334276,0.592434234336054,0.271078523720098,2.1854709336833,0.0288543348718318,0.134990429701
"ABHD4",262.229218153785,-0.287467516640633,0.329014513895442,-0.873722904309283,0.382269174442925,0.607925483367351
"ABHD5",424.278786183058,-0.0106475805808638,0.297473725681994,-0.0357933479888112,0.971447137205934,0.987557606702443
"ABHD6",47.1602576973662,0.0658607717106401,0.312004057728451,0.211089471688735,0.832817455512517,0.916936171071165
"ABHD8",109.669645062853,-0.83953341655247,0.395256100166483,-2.12402393334058,0.0336681423319424,0.148536340051623
"ABI1",1011.48029479632,-0.929036761976885,0.19727304834587,-4.70939527607464,2.4845282858617e-06,0.000150971205695835
"ABI2",513.330208233028,0.379753437180017,0.258536725101026,1.4688568404803,0.141871623094364,0.347766054100842
"ABI3",68.3956356271916,-0.085363392860262,0.288094647702944,-0.296303293174265,0.766998471226692,0.878063916098995
"ABI3BP",191.08949050351,1.47760540955743,0.533357860138546,2.77038273922428,0.00559904566060222,0.0464800839728229
"ABL1",634.768163647334,0.0567087566391474,0.282927054508254,0.200435963035458,0.841139635677053,0.920777508862987
"ABL2",869.979200342947,-0.145058642940149,0.19396516698489,-0.747859242950821,0.454545063531909,0.665821912169625
"ABLIM1",1173.48775450092,-0.0219061255727267,0.346424707724918,-0.0632348821670117,0.949579468397635,0.977269522628288
"ABLIM2",39.4461747766729,-0.0596277570208301,0.434942250327505,-0.137093503737407,0.890956887253983,0.948348702223751
"ABLIM3",152.935578295391,1.71650648765532,0.540289099185048,3.17701484306167,0.00148799420191973,0.0184374364729097
"ABO",4.4465261468924,-0.45548212623556,0.737697915572801,-0.617437187526673,0.536946399811741,0.729132782356639
"ABR",539.389402560687,0.498630792789013,0.182079594198983,2.73853198642397,0.00617141567624679,0.0495189974399732
"ABRA",5.13296934373836,-1.9300451449684,0.650247249042687,-2.96817118074682,0.00299577440956897,0.0301705336457325
"ABRACL",293.544073185828,-0.689955198677005,0.396444129640782,-1.74035922615924,0.0817959603777218,0.251808683324819
"ABT1",248.133016089056,-0.619741409783637,0.328917652077854,-1.88418409856868,0.0595400776917718,0.210800515581149
"ABTB1",130.860887554217,0.363834637589387,0.285596396731306,1.27394687661865,0.20268224372959,0.426092346446673
"ABTB2",111.836917301814,-1.85663515777109,0.248536192550266,-7.47028084207731,8.00238448772404e-14,7.96542109270932e-11
"AC093375.1",28.5621246448789,0.390172083607893,0.751865004382438,0.518939013431501,0.603803270736787,0.777125778474913
"ACAA1",450.695949885056,0.293985974488968,0.337816592401237,0.870253211659272,0.384162042098156,0.609443203040847
"ACAA2",196.261997230501,0.22363919814501,0.349474100097369,0.639930678933576,0.52221766771102,0.718977431448289
"ACACA",1794.83885682229,0.436156459984153,0.274739928407391,1.58752483671543,0.112393826392401,0.304254965428448
"ACACB",245.818890545891,1.4284464323883,0.42324000485739,3.37502697286285,0.000738084564212182,0.0114113769568988
"ACAD10",200.707786404473,0.434773126217984,0.274653805485308,1.58298599012582,0.113424657634415,0.306003564601468
"ACAD11",21.7740788109294,0.149961953942237,0.444785171489198,0.337155920554061,0.735999364125433,0.86077293729726
"ACAD8",134.062833708972,-0.419013317742007,0.226014743442515,-1.85392028572941,0.0637505652367593,0.219266864247016
"ACAD9",415.611107391174,-0.528960179328186,0.274384774224485,-1.92780441561755,0.0538794582910552,0.198177426827015
"ACADL",4.43475773117464,-0.518353481178886,0.711199004814652,-0.728844497348497,0.466096788984395,0.674243680286562
"ACADM",465.532287008056,-0.208223616204862,0.308028218887149,-0.675988768032801,0.499047776320165,0.701708305423141
"ACADS",61.7337486751044,0.684516109818527,0.343075415343005,1.99523509760719,0.046017244766631,0.180647113520346
"ACADSB",1487.74116175655,3.67621611448143,0.477962898016158,7.69142569379339,1.45504429792838e-14,1.9009244349748e-11
"ACADVL",1549.31573477404,0.209229354461151,0.278304039906823,0.751801355564948,0.452170526698043,0.663977556696115
"ACAN",78.0476568362401,-1.56207886162736,0.615414897567669,-2.53825324638911,0.0111407334889412,0.0733504361388041
"ACAP1",88.6297132671124,-0.879186367254966,0.368819110817965,-2.38378744882582,0.0171354962545659,0.0970426047535215
"ACAP2",1225.99800581781,-0.151858781352289,0.248261367879275,-0.611689134920642,0.540743451793229,0.731504352585145
"ACAP3",336.595671702028,0.106388503224687,0.361946255379793,0.293934532111827,0.7688079302304,0.879220492701939
"ACAT1",433.499741841299,0.41565698804393,0.338212030276321,1.22898345071976,0.219078010929356,0.444600743927799
"ACAT2",330.471032807452,-0.899343494421071,0.360410921749724,-2.49532808288643,0.0125840717864695,0.0791588481951767
"ACBD3",1369.92427364991,-0.218996601517514,0.207879788759385,-1.05347712167919,0.292122374395355,0.522168119718326
"ACBD4",58.5446375536866,1.06684598347154,0.257119693128608,4.14921926239979,3.33611149526847e-05,0.00117596523753114
"ACBD5",578.316762558302,-0.691134643185146,0.355011188376329,-1.94679679349291,0.0515591015474576,0.193177970899177
"ACBD6",247.794310957258,0.115424059854507,0.180910455358105,0.638017629362715,0.523462204215499,0.719925884862219
"ACBD7",35.1395472623829,-0.798728803330338,0.581044293695748,-1.37464357192117,0.169241973230449,0.38545053022838
"ACCS",58.9022606470815,0.132464010741456,0.384531116614486,0.344481902811154,0.730483903629507,0.8579196685725
"ACCSL",2.02633927179587,-1.71458033623812,0.78317931309261,-2.18925641621917,0.028578208224424,0.134180208112115
"ACD",96.2821870682003,-0.0414938416763041,0.359118033045913,-0.115543742886894,0.908014150815399,0.957514862421435
"ACE",146.290505849838,0.623675838131541,0.45385907266039,1.37416188350215,0.169391431123068,0.385622858284196
"ACE2",129.617855144037,-1.97243059516479,0.799529198695481,-2.46699007163594,0.0136254135439327,0.0834247273898143
"ACER1",4.08443506982879,-0.0274536137142599,0.660153227116567,-0.041586729544855,0.966828152379582,0.985401963488732
